slug;text
items.icy-lizalfos-tail;Icy Lizalfos Tail
items.red-lizalfos-tail;Red Lizalfos Tail
items.yellow-lizalfos-tail;Yellow Lizalfos Tail
items.lynel-horn;Lynel Horn
items.lynel-hoof;Lynel Hoof
items.lynel-guts;Lynel Guts
items.chuchu-jelly;Chuchu Jelly
items.white-chuchu-jelly;White Chuchu Jelly
items.red-chuchu-jelly;Red Chuchu Jelly
items.yellow-chuchu-jelly;Yellow Chuchu Jelly
items.keese-wing;Keese Wing
items.ice-keese-wing;Ice Keese Wing
items.fire-keese-wing;Fire Keese Wing
items.electric-keese-wing;Electric Keese Wing
items.keese-eyeball;Keese Eyeball
items.octoroktentacle;OctorokTentacle
items.octorok-eyeball;Octorok Eyeball
items.octo-balloon;Octo Balloon
items.mulduga-fin;Mulduga Fin
items.molduga-guts;Molduga Guts
items.hinox-toenail;Hinox Toenail
items.hinox-tooth;Hinox Tooth
items.hinox-guts;Hinox Guts
items.ancient-screw;Ancient Screw
items.ancient-spring;Ancient Spring
items.ancient-gear;Ancient Gear
items.ancient-shaft;Ancient Shaft
items.ancient-core;Ancient Core
items.giant-ancient-core;Giant Ancient Core
items.wood;Wood
items.hearty-durian.description;Details not available yet.
items.palm-fruit.description;Fruit from palm trees that grow near the ocean. It doesn't offer any special effects but will increase your heart recovery when used as an ingredient.
items.apple.description;A common fruit found on trees all around Hyrule. Eat it fresh, or cook it to increase its effect.
items.wildberry.description;A fruit that grows in cold, snowy regions known for its tangy, sweet flavor. It doesn't offer any special effects, but it's a popular cooking ingredient.
items.hydromelon.description;Details not available yet.
items.spicy-pepper.description;This pepper is exploding with spice. Cook with it to create dishes that will raise your body temperature and help you withstand the cold.
items.voltfruit.description;Cacti found in the Gerudo Desert bear this sweet fruit. It's naturally insulated, so when cooked into a dish, it provides resistance against electricity.
items.fleet-lotus-seeds.description;The plant that bears these seeds grows near deep water. The roots draw nutrients from the water, which boosts your movement speed when the seeds are cooked into a dish.
items.mighty-bananas.description;This fruit grows mainly in tropical forests of the Faron region. When it's used as an ingredient, the resulting dish will temporarily increase your attack power.
items.big-hearty-truffle.description;Details not available yet.
items.hearty-truffle.description;This rare mushroom has a rich scent. Cook it before eating to temporarily increase your maximum hearts.
items.hylian-shroom.description;A common mushroom found near trees around Hyrule. Eat it to restore half a heart.
items.endura-shroom.description;A rare yellowish-orange mushroom. Cook it before eating to temporarily increase your stamina limit.
items.stamella-shroom.description;A green mushroom that grows near trees in the forest. It's chock-full of natural energy. Cook it to release its stamina-restoration properties.
items.chillshroom.description;Details not available yet.
items.sunshroom.description;A bright red mushroom that grows in hot climates. Imbued with the power of heat, they can be used to cook dishes that will allow you to endure the bitter cold.
items.zapshroom.description;Details not available yet.
items.rushroom.description;A mushroom that can grow almost anywhere but prefers ceilings and sheer cliffs. Cook it before eating to temporarily increase your movement speed.
items.razorshroom.description;This mushroom is known for the natural slice in its cap. Eating it fosters your competitive spirit. Use it when cooking to prepare a dish that will increase your strength.
items.ironshroom.description;The cap of this mushroom is very hard. Use it when cooking to prepare a dish that increases your defense.
items.silent-shroom.description;A strange mushroom that glows quietly in the forest at night. Cook it before eating to temporarily gain increased stealth.
items.big-hearty-radish.description;This hearty radish has grown much larger than the average radish. It's rich in analeptic compounds that, when cooked into a dish, temporarily increase your maximum hearts.
items.hearty-radish.description;A rare radish that grows best in sunny plains. Cook it before eating to temporarily increase your maximum hearts.
items.endura-carrot.description;Highly valued as a medicinal plant, this carrot contains large amounts of nourishing energy. When cooked into a dish, it boosts your stamina beyond its maximum limit.
items.hyrule-herb.description;This healthy herb grows abundantly in the plains of Hyrule. Cook it before eating to increase the number of hearts it restores.
items.swift-carrot.description;This carrot is cultivated extensively in Kakariko Village. It strengthens the legs and hips when cooked into a dish, which helps increase your movement speed.
items.fortified-pumpkin.description;An extremely tough pumpkin raised in village fields. When cooked, that toughness manifests itself by considerably upping defense.
items.cool-safflina.description;This medicinal plant grows in high elevations, such as mountains in the Hebra or Gerudo regions. When cooked into a dish, it will temporarily increase your heat resistance.
items.warm-safflina.description;This medicinal plant grows in hot regions, such as the Gerudo Desert. It's warm to the touch and increases your cold resistance when cooked into a dish.
items.electric-safflina.description;This medicinal plant grows abundantly in the Gerudo Desert. Its peculiar fibers conduct electricity, which will increase your electricity resistance when cooked into a dish.
items.swift-violet.description;This vitality-rich flower blooms mainly on cliffsides. When cooked into a dish, the nourishing compounds increase your movement speed.
items.mighty-thistle.description;This medicinal plant is known for its sharp thorns and for the fruit it bears. The fruit contains a compound that increases attack power when cooked into a dish.
items.armoranth.description;This touch medicinal plant cannot be broken, but it can be cooked. Its durable yet flexible fibers raise your defense when cooked into a dish.
items.blue-nightshade.description;A plant that grows in quieter areas of Hyrule. At night, it gives off a soft glow. Cook with it to increase your stealth.
items.silent-princess.description;This lovely flower was said to have been a favorite of the princess of Hyrule. Once feared to have gone extinct, it's recently been spotted growing in the wild.
items.raw-gourmet-meat.description;This prized cut of meat is usually from a large animal. Any connoisseur would rank this tender, juicy cut of meat gourmet. Expect an exquisite meal when cooking with this.
items.raw-whole-bird.description;Details not available yet.
items.raw-prime-meat.description;A fresh, high-quality piece of animal meat. This stuff isnt easy to come by, so savor it. Cook it to recover more hearts.
items.raw-bird-thigh.description;Details not available yet.
items.raw-meat.description;Meat obtained from animals in plains and forests. You can eat it raw, but cooking it will make it more delicious and nutritious.
items.raw-bird-drumstick.description;This meat is tougher and chewier than a standard Steak. Tastes better cooked.
items.courser-bee-honey.description;Sweet honey chock-full of nutrients! Rather than eating it raw, try cooking with it to unlock its stamina-restoring effects.
items.hylian-rice.description;This grain is a favorite among residents of Kakariko Village. It's grown in regions with a lot of water and is quite versatile. Used as an ingredient in things like risotto and rice balls.
items.acorn.description;Often found on the ground near trees. Squirrels adore this nut, so you may have competition while foraging. Add one to a meal for a nutty seasoning.
items.chickaloo-tree-nut.description;Small birds love this nut. You can eat it raw for a minor effect, but it can also be added as a spice to other recipes.
items.bird-egg.description;A fresh bird egg necessary for making dishes such as omelets and crepes. You can snag them from birds' nests if you're sneaky. Nutritious and delicious, perfect.
items.tabantha-wheat.description;Details not available yet.
items.fresh-milk.description;Details not available yet.
items.cane-sugar.description;Details not available yet.
items.goat-butter.description;Details not available yet.
items.goron-spice.description;Details not available yet.
items.rock-salt.description;Crystallized salt from the ancient sea commonly used to season meals. Cannot be eaten in this form.
items.monster-extract.description;A result of Kilton's research into monsters, this suspicious spice can be used to punch up dishes while cooking. Apparently it can be used to make a number of monstrous meals.
items.star-fragment.description;Details not available yet.
items.dinraals-scale.description;Details not available yet.
items.dinraals-claw.description;Details not available yet.
items.shard-of-dinraals-fang.description;Details not available yet.
items.shard-of-dinraals-horn.description;Details not available yet.
items.naydras-scale.description;Details not available yet.
items.naydras-claw.description;Details not available yet.
items.shard-of-naydras-fang.description;Details not available yet.
items.shard-of-naydras-horn.description;Details not available yet.
items.faroshs-scale.description;Details not available yet.
items.faroshs-claw.description;Details not available yet.
items.shard-of-faroshs-fang.description;Details not available yet.
items.shard-of-faroshs-horn.description;Details not available yet.
items.hearty-salmon.description;This fish makes its home in cold water, giving it extra layers of fat. It temporarily increases your maximum hearts when used in cooking.
items.hearty-bass.description;Details not available yet.
items.hyrule-bass.description;An ordinary fish that can be found all over Hyrule. Can be eaten raw, but its healing effects are amplified when cooked. 
items.staminoka-bass.description;This Hyrule bass got to be the biggest fish by never getting caught (until now). Its long life results in a cooked dish that will restore a lot of stamina.
items.chillfin-trout.description;This blue trout prefers cold bodies of water. Its skin contains enzymes that keep its body cool, and when cooked into a dish, it will temporarily boost your heat resistance.
items.sizzlefin-trout.description;Consuming the bioluminescent compound that makes this fish glow in the dark will increase concentration. Dishes cooked with it will suppress noise when consumed.
items.voltfin-trout.description;Details not available yet.
items.stealthfin-trout.description;Details not available yet.
items.mighty-carp.description;This freshwater fish lives alongside its less mighty carp ilk. A compound in its liver promotes muscle growth. Dishes cooked with it will temporarily increase your attack power.
items.armored-carp.description;Calcium deposits in the scales of this ancient fish make them as hard as armor. Cooking it into a dish will fortify your bones, temporarily increasing your defense.
items.sanke-carp.description;Details not available yet.
items.mighty-porgy.description;This ocean-dwelling fish comes with one rude attitude. The compounds in its flesh elevate your competitive spirit when it's cooked into a dish, thus increasing your attack power.
items.armored-porgy.description;Details not available yet.
items.sneaky-river-snail.description;This large, glow-in-the-dark snail lives in fresh water. When cooked into a dish, it heightens your senses so you can move about silently.
items.hearty-blueshell-snail.description;Details not available yet.
items.razorclaw-crab.description;Details not available yet.
items.ironshell-crab.description;Details not available yet.
items.bright-eyed-crab.description;Details not available yet.
items.fairy.description;This fairy will fly from your pouch and heall all your wounds the moment you lose your last heart. It's easilly mistaken for a firefly at first, but it glows in the daylight as well as night.
items.winterwing-butterfly.description;The powdery scales of this butterfly's wings cool the air around it. Watching it flutter around snowflakes is a thing of beauty. Cook it with monster parts for a heat-resistant elixir.
items.summerwing-butterfly.description;A butterfly found in the woods and plains of warm regions. Its wings absorb the warmth of the sun. Cook it with monster parts to create an elixir that makes you feel warm and fuzzy.
items.thunderwing-butterfly.description;This rare butterfly only shows itself when it rains. The organs in its body produce an insulating compound. When made into an elixir, it offers electrical resistance.
items.smotherwing-butterfly.description;Details not available yet.
items.cold-darner.description;This dragonfly prefers the cool shade of trees to the warmth of the sun. Its wings disperse heat from its body, which can be cooked into a heat-resistant elixir.
items.warm-darner.description;This dragonfly has a special organ that causes it to sweat profusely. Cook it with monster parts for an elixir that will raise your core temperatures so you can resist the cold.
items.electric-darner.description;This rare dragonfly only appears in the rain. Its wings direct electricity away from its body. Cook it with monster parts for an electricity-resistant elixir.
items.restless-cricket.description;A very energetic cricket. Cook it with monster parts to create a stamina-boosting elixir.
items.bladed-rhino-beetle.description;Details not available yet.
items.rugged-rhino-beetle.description;This beetle's hard body resembles armor. When the shell is cooked with monster parts, the resulting elixir boosts your defense.
items.energetic-rhino-beetle.description;Details not available yet.
items.sunset-firefly.description;These fireflies glow gently in the dark. When cooked with monster parts, the compound that causes it to glow results in an elixir that will allow you to move more quietly.
items.hot-footed-frog.description;An energetic frog that can be found hopping around near water. Cook it with monster parts to draw out its speed-boost effect.
items.tireless-frog.description;This rare frog only ventures out in the rain. When cooked with monster parts, the elixir it produces will temporarily increase your maximum stamina.
items.hightail-lizard.description;A lizard that darts off quickly when it senses danger. Cook it alongside monster parts to increase your movement speed.
items.hearty-lizard.description;Details not available yet.
items.fireproof-lizard.description;Details not available yet.
items.flint.description;Strike it with a metallic weapon to generate a spark. The portable fire starter breaks after one use, but it can create a long-lasting flame if you use it near firewood.
items.amber.description;A fossilized resin with a caramelesque sheen to it. It's been valued as a component in decorations and crafting since ancient times.
items.opal.description;A valuable ore that gives off a mesmerizing iridescence similar to the inside of a seashell. It contains the power of water.
items.luminous-stone.description;This mysterious mineral gives off a pale blue glow in the dark, which some believe to be souls of the undead. Apparently, this stone can be used as a base to make special clothing.
items.topaz.description;This rare yellow gem is said to contain electrical powers and can be sold for a high price.
items.ruby.description;A valuable material mined from large stones in Hyrule. Rubies hold the power of fire within them. Can be sold for a very high price.
items.sapphire.description;A valuable blue gem mined from natural rock formations. Sapphires are said to contain the essence of ice within them. Sells for a very high price.
items.diamond.description;The most precious gem one can find in Hyrule, its signature sparkle has charmed Hyruleans for generations. As such, it has sold for a very high price since ancient times.
items.bokoblin-horn.description;The severed horn of a Bokoblin, a creature often encountered on the plains of Hyrule. It isn't edible, but it can be tossed into a stew with some critters to make an elixir. 
items.bokoblin-fang.description;A sharp tooth obtained from a Bokoblin. You can sell it, but it also has other uses.
items.bokoblin-guts.description;A rare material obtained by defeating a Bokoblin. It convulses on its own every now and then, which is really creepy, but perhaps it has a use.
items.moblin-horn.description;This splendid horn once grew atop the head of a Moblin. It can't be used in normal food recipes, but it does have some use as an ingredient in making elixirs.
items.moblin-fang.description;A sharp fang obtained from a Moblin. It's too hard to be reshaped into a tool, but it can be tossed into a stew with some critters to create elixirs.
items.moblin-guts.description;Details not available yet.
items.lizalfos-horn.description;This winding horn once grew atop the head of a Lizalfos. It's too hard to use for cooking, but stores are willing to buy it from you. It can also be used to make elixirs.
items.lizalfos-talon.description;This talon once grew from the elbow of a Lizalfos. You can stew it with critters to make elixirs, but it may have some other uses, as well.
items.lizalfos-tail.description;Details not available yet.
items.icy-lizalfos-tail.description;Details not available yet.
items.red-lizalfos-tail.description;Details not available yet.
items.yellow-lizalfos-tail.description;Details not available yet.
items.lynel-horn.description;Details not available yet.
items.lynel-hoof.description;Details not available yet.
items.lynel-guts.description;Details not available yet.
items.chuchu-jelly.description;A gelatinous substance that came from a Chuchu. It's unusable in this state, but applying a bit of elemental stimulation will change its form.
items.white-chuchu-jelly.description;A jiggly substance that came from a White Chuchu. It's cool to the touch, and squeezing it seems to relieve stress. If struck, it will explode in a cold mist.
items.red-chuchu-jelly.description;Details not available yet.
items.yellow-chuchu-jelly.description;Details not available yet.
items.keese-wing.description;The wing of a Keese. It's covered with very short, sharp fur. It's not much use by itself, but you can mix it with critters to make something useful.
items.ice-keese-wing.description;A rare Ice Keese wing. Its frozen surface gleams attractively, but its usefulness isn't readily apparent.
items.fire-keese-wing.description;Details not available yet.
items.electric-keese-wing.description;Details not available yet.
items.keese-eyeball.description;A rare material dropped by a defeated Keese. It's fun to look at, but it doesn't seem to have much use at first glance. But it must be good for something...        
items.octoroktentacle.description;This can only be obtained from an Octorok-type enemy. It's too acidic for cooking, but it's highly valued as an ingredient for elixirs.
items.octorok-eyeball.description;This can only be obtained from an Octorok-type enemy. You can sell it to a store, or you can make elixirs with it, but it may have other uses, as well.
items.octo-balloon.description;This inflatable Octorok organ has a lot of lift, so attach it to items you want to see float. Hold it in your hands, and then place it on an object to attach it.
items.mulduga-fin.description;Details not available yet.
items.molduga-guts.description;Details not available yet.
items.hinox-toenail.description;Details not available yet.
items.hinox-tooth.description;Details not available yet.
items.hinox-guts.description;Details not available yet.
items.ancient-screw.description;A screw used in ancient machinery. It's made of an unknown material, and no matter how many times it's turned, its threads never seem to show signs of wear.
items.ancient-spring.description;A spring used in ancient machinery. It is light and buoyant enough to float on water, and no matter how many times it's compressed, it never loses tension.
items.ancient-gear.description;A gear used in ancient machinery. Despite being incredibly old, it’s build quality is leaps and bounds above anything built using current technology.
items.ancient-shaft.description;A machine part used in ancient machinery. It's incredibly sturdy, and it's not made of any recognizable material. It may come in handy someday.
items.ancient-core.description;This crystal was made using lost technology. At one time it was the power source for ancient machines. This item is very valuable to researchers.
items.giant-ancient-core.description;A giant energy crystal made using lost ancient technology. Cores this large are an extremely rare find. A researcher would probably know how to use this.
items.wood.description;A portable bundle of wood. You can use this to make a campfire if you have something to light it.
category.antillamas;Antillamas
category.electrizante;Electrizante
category.gelido;Gélido
category.picante;Picante
category.protector;Protector
category.raudo;Raudo
category.recio;Recio
category.sigiloso;Sigiloso
category.tonificante;Tonificante
category.vigorizante;Vigorizante
category.vivaz;Vivaz
location.al.romper.minerales;al romper minerales
location.al.romper.minerales.luminosos;al romper minerales luminosos
location.al.romper.minerales.poco.comunes;al romper minerales poco comunes
location.aldea.kakariko;Aldea Kakariko
location.bosque.kolog;Bosque Kolog
location.cerca.de.las.fuentes.de.la.gran.hada;cerca de las fuentes de la Gran Hada
location.colinas.de.hyrule;Colinas de Hyrule
location.confines.de.tabanta;Confines de Tabanta
location.corazon.de.akkala;Corazón de Akkala
location.cordillera.de.eldin;Cordillera de Eldin
location.cordillera.de.gerudo;Cordillera de Gerudo
location.cordillera.de.hebra;Cordillera de Hebra
location.corta.la.hierba.alta.en.la.llanura.de.hyrule;corta la hierba alta en la Llanura de Hyrule
location.corta.la.hierba.alta.en.la.region.de.tabanta;corta la hierba alta en la región de Tabanta
location.desierto.de.gerudo;Desierto de Gerudo
location.dispara.una.flecha.a.la.boca.del.dragon.elden;dispara una flecha a la boca del dragón Elden
location.dispara.una.flecha.a.la.boca.del.dragon.nayen;dispara una flecha a la boca del dragón Nayen
location.dispara.una.flecha.a.la.boca.dragon.faren;dispara una flecha a la boca dragón Faren
location.dispara.una.flecha.a.los.pies.del.dragon.elden;dispara una flecha a los pies del dragón Elden
location.dispara.una.flecha.a.los.pies.del.dragon.faren;dispara una flecha a los pies del dragón Faren
location.dispara.una.flecha.a.los.pies.del.dragon.nayen;dispara una flecha a los pies del dragón Nayen
location.dispara.una.flecha.al.cuerno.del.dragon.elden;dispara una flecha al cuerno del dragón Elden
location.dispara.una.flecha.al.cuerno.del.dragon.faren;dispara una flecha al cuerno del dragón Faren
location.dispara.una.flecha.al.cuerno.del.dragon.nayen;dispara una flecha al cuerno del dragón Nayen
location.dispara.una.flecha.al.cuerpo.del.dragon.elden;dispara una flecha al cuerpo del dragón Elden
location.dispara.una.flecha.al.cuerpo.del.dragon.faren;dispara una flecha al cuerpo del dragón Faren
location.farone;Farone
location.glaciarok.y.petrarok.poco.comun;glaciarok y petrarok poco común
location.golpea.una.colmena;golpea una colmena
location.gran.bosque.de.hyrule;Gran Bosque de Hyrule
location.llanura.de.hyrule;Llanura de Hyrule
location.llanura.de.hyrule;LLanura de Hyrule
location.luminoso.y.magnarok;luminoso y magnarok
location.manantial.de.lanayru;Manantial de Lanayru
location.mar.de.lanayru;Mar de Lanayru
location.mar.de.necluda;Mar de Necluda
location.meseta.de.los.albores;Meseta de los albores
location.minerales;minerales
location.montana.de.la.muerte;Montaña de la Muerte
location.monte.lanayru;Monte Lanayru
location.necluda.occidental;Necluda occidental
location.necluda.oriental;Necluda oriental
location.pantano.de.lanayru;Pantano de Lanayru
location.pertarok.luminosos.y.poco.comunes;pertarok luminosos y poco comunes
location.petrarok.luminosos;petrarok luminosos
location.petrarok.normal;petrarok normal
location.por.la.noche.al.caer.una.estrella.fugaz;por la noche al caer una estrella fugaz
location.pradera.de.farone;Pradera de Farone
location.se.encuentra.en.lo.alto.de.algunos.arboles.grandes;se encuentra en lo alto de algunos árboles grandes
location.se.obtiene.al.cazar.ardillas;se obtiene al cazar ardillas
location.se.obtiene.al.talar.arboles;se obtiene al talar árboles
location.se.obtiene.de.aves.pequenas;se obtiene de aves pequeñas
location.se.obtiene.de.las.moldoras;se obtiene de las moldoras
location.se.obtiene.de.las.palomas.blanca.y.las.avestruces.de.eldin;se obtiene de las palomas blanca y las avestruces de Eldin
location.se.obtiene.de.los.bokoblins;se obtiene de los bokoblins
location.se.obtiene.de.los.centaleones;se obtiene de los centaleones
location.se.obtiene.de.los.chuchu.electricos;se obtiene de los chuchu eléctricos
location.se.obtiene.de.los.chuchu.gelidos;se obtiene de los chuchu gélidos
location.se.obtiene.de.los.chuchu.igneos;se obtiene de los chuchu ígneos
location.se.obtiene.de.los.chuchus;se obtiene de los chuchus
location.se.obtiene.de.los.cucos;se obtiene de los cucos
location.se.obtiene.de.los.guardianes;se obtiene de los guardianes
location.se.obtiene.de.los.hinox;se obtiene de los hinox
location.se.obtiene.de.los.keese;se obtiene de los keese
location.se.obtiene.de.los.keese.de.fuego;se obtiene de los keese de fuego
location.se.obtiene.de.los.keese.de.hielo;se obtiene de los keese de hielo
location.se.obtiene.de.los.keese.electricos;se obtiene de los keese eléctricos
location.se.obtiene.de.los.lizalfos;se obtiene de los lizalfos
location.se.obtiene.de.los.lizalfos.electricos;se obtiene de los lizalfos eléctricos
location.se.obtiene.de.los.lizalfos.gelidos;se obtiene de los lizalfos gélidos
location.se.obtiene.de.los.lizalfos.igneos;se obtiene de los lizalfos ígneos
location.se.obtiene.de.los.mamiferos.mas.grandes.y.peligrosos;se obtiene de los mamíferos más grandes y peligrosos
location.se.obtiene.de.los.moblins;se obtiene de los moblins
location.se.obtiene.de.los.octorok;se obtiene de los octorok
location.se.obtiene.de.mamiferos.grandes.y.peligrosos;se obtiene de mamíferos grandes y peligrosos
location.se.obtiene.de.mamiferos.pequenos.e.inofensivos;se obtiene de mamíferos pequeños e inofensivos
location.se.vende.en.la.tienda.de.aldea.hatelia;se vende en la tienda de Aldea Hatelia
location.se.vende.en.la.tienda.de.ciudad.goron;se vende en la tienda de Ciudad Goron
location.se.vende.en.la.tienda.del.poblado.orni;se vende en la tienda del Poblado Orni
location.sierra.de.akkala;Sierra de Akkala
location.tienda.de.monstruos.de.kilton;tienda de monstruos de Kilton
location.todos.los.enemigos.plateados;todos los enemigos plateados
location.todos.los.petrarok.menos.los.normales;todos los petrarok menos los normales
location.todos.los.tipos.de.petrarok;todos los tipos de petrarok
location.valle.de.eldin;Valle de Eldin
crafting.hotWater;Hot water
food.carne-de-caza-xl-helada;Carne de caza xl helada
food.lubina-helada;Lubina Helada
food.carne-de-caza-xxl-helada;Carne de caza xxl helada
food.lubina-vivaz-helada;Lubina vivaz helada
food.salmón-vivaz-helado;Salmón vivaz helado
food.carne-de-helada;carne de helada
food.carne-de-ave-xl-helada;Carne de ave xl helada 
food.trucha-helada;trucha helada
food.carne-de-ave-xxl-helada;carne de ave xxl helada
food.lubina-de-hyrule-asada;lubina de hyrule asada
food.carpa-helada;carpa helada
food.lubina-vivaz-asada;lubina vivaz asada
food.dorada-helada;dorada helada
food.salmón-vivaz-asado;salmón vivaz asado
food.cangrejo-helado;cangrejo helado
food.trucha-asada;trucha asada
food.caracol-sigiloso-helado;caracol sigiloso helado
food.carpa-asada;carpa asada
food.caracol-vivaz-helado;caracol vivaz helado
food.dorada-asada;dorada asada
food.carne-de-caza-helada;carne de caza helada
food.fruto-de-árbol-asado;fruto de árbol asado
food.caracol-sigiloso-asado;caracol sigiloso asado
food.durián-vivaz-asado;durián vivaz asado
food.caracol-vivaz-asado;caracol vivaz asado
food.sandía-gélida-asada;sandía gélida asada
food.cangrejo-asado;cangrejo asado
food.baya-ígnea-asada;baya ígnea asada
food.fruta-electro-asada;fruta electro asada
food.huevo-frito;huevo frito
food.semilla-de-loto-asada;semilla de loto asada
food.plátanos-recios-asados;plátanos recios asados
food.carne-de-caza-asada;carne de caza asada
food.carne-de-caza-xl-asada;carne de caza xl asada
food.huevo-cocido;huevo cocido
food.carne-de-caza-xxl-asada;carne de caza xxl asada
food.manzana-asada;manzana asada
food.carne-de-ave-asada;carne de ave asada
food.coco-asado;coco asado
food.carne-de-ave-xl-asada;carne de ave xl asada
food.seta-rauda-asada;seta rauda asada
food.frambuesa-asada;frambuesa asada
food.bellota-asada;bellota asada
food.seta-recía-asada;seta recía asada
food.seta-robusta-asada;seta robusta asada
food.seta-sigilosa-asada;seta sigilosa asada
food.carne-de-ave-xxl-asada;carne de ave xxl asada
food.seta-de-hyrule-asada;seta de Hyrule asada
food.rábano-asado;rábano asado
food.rábano-grande-asado;rábano grande asado
food.seta-vigorosa-asada;seta vigorosa asada
food.zanahoría-rauda-asada;zanahoría rauda asada
food.seta-briosa-asada;seta briosa asada
food.trufa-vivaz-asada;trufa vivaz asada
food.zanahoría-briosa-asada;zanahoría briosa asada
food.trufón-vivaz-asado;trufón vivaz asado
food.calabaza-robusta-asada;calabaza robusta asada
